Id:ID¿Type¿Kind¿Code¿Range¿Location¿Value¿Raw¿Async¿Label:LABEL¿SemanticType
27¿exit¿¿¿¿¿¿¿¿ASTNode¿
28¿exit¿¿¿¿¿¿¿¿ASTNode¿
1¿Program¿¿¿[89,244]¿{start:{line:2,column:0},end:{line:9,column:33}}¿¿¿¿ASTNode¿
2¿VariableDeclaration¿const¿¿[89,116]¿{start:{line:2,column:0},end:{line:2,column:27}}¿¿¿¿ASTNode¿
3¿VariableDeclarator¿¿=¿[95,116]¿{start:{line:2,column:6},end:{line:2,column:27}}¿¿¿¿ASTNode¿
4¿Identifier¿¿$¿[95,96]¿{start:{line:2,column:6},end:{line:2,column:7}}¿¿¿¿ASTNode¿
5¿CallExpression¿¿¿[99,116]¿{start:{line:2,column:10},end:{line:2,column:27}}¿¿¿¿ASTNode¿
6¿Identifier¿¿require¿[99,106]¿{start:{line:2,column:10},end:{line:2,column:17}}¿¿¿¿ASTNode¿
7¿Literal¿¿¿[107,115]¿{start:{line:2,column:18},end:{line:2,column:26}}¿jquery¿'jquery'¿¿ASTNode¿
8¿FunctionDeclaration¿¿¿[118,207]¿{start:{line:4,column:0},end:{line:7,column:3}}¿¿¿false¿ASTNode¿
9¿Identifier¿¿changeColor¿[127,138]¿{start:{line:4,column:9},end:{line:4,column:20}}¿¿¿¿ASTNode¿
10¿Identifier¿¿color_str¿[139,148]¿{start:{line:4,column:21},end:{line:4,column:30}}¿¿¿¿ASTNode¿
11¿BlockStatement¿¿¿[149,207]¿{start:{line:4,column:31},end:{line:7,column:3}}¿¿¿¿ASTNode¿
12¿ExpressionStatement¿¿¿[172,203]¿{start:{line:6,column:4},end:{line:6,column:35}}¿¿¿¿ASTNode¿
13¿CallExpression¿¿¿[172,202]¿{start:{line:6,column:4},end:{line:6,column:34}}¿¿¿¿ASTNode¿
14¿MemberExpression¿¿¿[172,182]¿{start:{line:6,column:4},end:{line:6,column:14}}¿¿¿¿ASTNode¿
15¿CallExpression¿¿¿[172,178]¿{start:{line:6,column:4},end:{line:6,column:10}}¿¿¿¿ASTNode¿
16¿Identifier¿¿$¿[172,173]¿{start:{line:6,column:4},end:{line:6,column:5}}¿¿¿¿ASTNode¿
17¿Literal¿¿¿[174,177]¿{start:{line:6,column:6},end:{line:6,column:9}}¿p¿p¿¿ASTNode¿
18¿Identifier¿¿css¿[179,182]¿{start:{line:6,column:11},end:{line:6,column:14}}¿¿¿¿ASTNode¿
19¿Literal¿¿¿[183,190]¿{start:{line:6,column:15},end:{line:6,column:22}}¿color¿color¿¿ASTNode¿
20¿Identifier¿¿color_str¿[192,201]¿{start:{line:6,column:24},end:{line:6,column:33}}¿¿¿¿ASTNode¿
21¿ExpressionStatement¿¿¿[211,244]¿{start:{line:9,column:0},end:{line:9,column:33}}¿¿¿¿ASTNode¿
22¿AssignmentExpression¿¿=¿[211,243]¿{start:{line:9,column:0},end:{line:9,column:32}}¿¿¿¿ASTNode¿
23¿MemberExpression¿¿¿[211,229]¿{start:{line:9,column:0},end:{line:9,column:18}}¿¿¿¿ASTNode¿
24¿Identifier¿¿window¿[211,217]¿{start:{line:9,column:0},end:{line:9,column:6}}¿¿¿¿ASTNode¿
25¿Identifier¿¿changeColor¿[218,229]¿{start:{line:9,column:7},end:{line:9,column:18}}¿¿¿¿ASTNode¿
26¿Identifier¿¿changeColor¿[232,243]¿{start:{line:9,column:21},end:{line:9,column:32}}¿¿¿¿ASTNode¿
